epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,661.803,1.18795,3.15336,2.51112,0.043,0.99806,1,0.995,0.8144,0.67018,1.68386,1.86502,0.01371,0.00056,0.00056,0.00056
2,1081.31,0.72053,1.21397,1.3371,0.03527,0.98972,1,0.99492,0.8362,0.80124,1.07769,1.21616,0.09002,0.00112871,0.00112871,0.00112871
3,1347.4,0.65114,0.75128,1.05601,0.0372,0.99955,1,0.995,0.90944,0.53397,0.6247,1.0165,0.01409,0.00168594,0.00168594,0.00168594
4,2525.98,0.6158,0.6015,1.00839,0.02163,0.99959,1,0.995,0.78557,0.65951,0.49199,1.02175,0.0498,0.0019406,0.0019406,0.0019406
5,2719.36,0.55367,0.50773,1.00017,0.01964,0.99955,1,0.995,0.91042,0.44844,0.40612,0.94518,0.00713,0.0019208,0.0019208,0.0019208
6,2817.9,0.47404,0.42921,0.94572,0.01286,0.99956,1,0.995,0.90707,0.48513,0.39728,0.96814,0.00691,0.001901,0.001901,0.001901
7,2949.95,0.48482,0.42041,0.9509,0.01449,0.99956,1,0.995,0.91107,0.43159,0.35136,0.93666,0.00535,0.0018812,0.0018812,0.0018812
8,2967.13,0.47263,0.38591,0.94972,0.01194,0.99956,1,0.995,0.94206,0.38359,0.31083,0.91644,0.00323,0.0018614,0.0018614,0.0018614
9,2984.34,0.48228,0.38229,0.95331,0.01614,0.99952,1,0.995,0.93252,0.41003,0.31007,0.93117,0.00282,0.0018416,0.0018416,0.0018416
10,3001.48,0.44302,0.36459,0.93585,0.01024,0.99953,1,0.995,0.93831,0.41038,0.30341,0.93013,0.00391,0.0018218,0.0018218,0.0018218
11,3018.62,0.41676,0.35043,0.92925,0.01294,1,1,0.995,0.93066,0.39487,0.29612,0.89943,0.00335,0.001802,0.001802,0.001802
12,3036.3,0.46948,0.37525,0.96831,0.01505,0.99955,1,0.995,0.93908,0.36725,0.27793,0.90769,0.0042,0.0017822,0.0017822,0.0017822
13,3053.95,0.43065,0.35094,0.93204,0.01231,0.99958,1,0.995,0.9423,0.37459,0.28848,0.90202,0.00291,0.0017624,0.0017624,0.0017624
