epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,367.026,0.91407,1.87246,2.04656,0.02865,0.99481,1,0.99491,0.7506,0.91074,1.01529,1.75226,0.03076,0.00066,0.00066,0.00066
2,1335.21,0.69862,0.62448,1.34062,0.0322,0.99863,1,0.995,0.86826,0.5429,0.52414,1.17356,0.03601,0.00131353,0.00131353,0.00131353
3,2415.53,0.66489,0.5147,1.19078,0.03682,0.99605,1,0.995,0.8809,0.48131,0.42133,0.9396,0.0227,0.00195387,0.00195387,0.00195387
4,3907.64,0.65953,0.47887,1.17726,0.03708,0.99982,1,0.995,0.90252,0.43575,0.35384,0.96667,0.00981,0.0019406,0.0019406,0.0019406
5,4629.32,0.61744,0.44859,1.08736,0.03592,0.99985,1,0.995,0.9273,0.35333,0.28613,0.90112,0.00568,0.0019208,0.0019208,0.0019208
6,5570.52,0.57707,0.41163,1.04551,0.03309,0.99977,0.98899,0.985,0.94738,0.30237,0.24833,0.85165,0.00598,0.001901,0.001901,0.001901
7,6088.94,0.53049,0.38104,1.00663,0.02775,0.9998,1,0.995,0.96365,0.28101,0.24158,0.83311,0.00445,0.0018812,0.0018812,0.0018812
8,6579.36,0.52133,0.37557,1.02012,0.02774,0.99984,1,0.995,0.95961,0.32409,0.25436,0.85966,0.0047,0.0018614,0.0018614,0.0018614
9,6913.47,0.51251,0.37024,1.00469,0.02471,0.99988,1,0.995,0.93636,0.3521,0.26878,0.8397,0.01108,0.0018416,0.0018416,0.0018416
10,6972.5,0.48933,0.35541,0.97217,0.02759,0.99983,1,0.995,0.92328,0.39786,0.26468,0.83341,0.02432,0.0018218,0.0018218,0.0018218
11,7028.63,0.47601,0.35337,0.97871,0.02249,0.99986,1,0.995,0.95812,0.31265,0.21427,0.86037,0.00248,0.001802,0.001802,0.001802
12,7082.59,0.46024,0.33883,0.95909,0.01898,0.99974,1,0.995,0.97158,0.27583,0.21438,0.83226,0.00876,0.0017822,0.0017822,0.0017822
13,7138.2,0.44605,0.3356,0.96747,0.01996,0.99988,1,0.995,0.9829,0.2649,0.20444,0.83116,0.00267,0.0017624,0.0017624,0.0017624
14,7192.13,0.44298,0.33139,0.9621,0.019,0.99987,1,0.995,0.979,0.24833,0.19406,0.81993,0.00381,0.0017426,0.0017426,0.0017426
15,7246.2,0.43606,0.33006,0.96142,0.01781,0.99985,1,0.995,0.98168,0.27282,0.1984,0.82657,0.00285,0.0017228,0.0017228,0.0017228
16,7300.85,0.42797,0.31893,0.94928,0.01623,0.99986,1,0.995,0.97021,0.26126,0.19964,0.82712,0.00488,0.001703,0.001703,0.001703
17,7354.96,0.44051,0.32681,0.96471,0.01788,0.99984,1,0.995,0.97876,0.27272,0.20112,0.82047,0.00232,0.0016832,0.0016832,0.0016832
18,7408.9,0.42173,0.3182,0.95398,0.01832,0.99987,1,0.995,0.98221,0.26224,0.19947,0.81622,0.00291,0.0016634,0.0016634,0.0016634
19,7462.76,0.41345,0.31435,0.94829,0.01648,0.99985,1,0.995,0.98134,0.23897,0.19187,0.81849,0.00337,0.0016436,0.0016436,0.0016436
20,7517.92,0.41053,0.31023,0.95185,0.0156,0.99986,1,0.995,0.98248,0.21626,0.18348,0.81813,0.0019,0.0016238,0.0016238,0.0016238
21,7572.69,0.39125,0.30073,0.94379,0.0155,0.99987,1,0.995,0.98243,0.24152,0.18814,0.8102,0.00281,0.001604,0.001604,0.001604
22,7626.59,0.40193,0.31037,0.94463,0.0128,0.99985,1,0.995,0.98158,0.24434,0.1907,0.8182,0.00215,0.0015842,0.0015842,0.0015842
23,7680.42,0.39665,0.29983,0.92559,0.01329,0.99984,1,0.995,0.98186,0.22521,0.1816,0.81383,0.0024,0.0015644,0.0015644,0.0015644
24,7734.17,0.39616,0.30248,0.93286,0.01623,0.99949,1,0.995,0.97857,0.25658,0.19032,0.81359,0.00202,0.0015446,0.0015446,0.0015446
25,7788.01,0.3889,0.29852,0.92577,0.01366,0.99984,1,0.995,0.97878,0.22549,0.18263,0.81283,0.00291,0.0015248,0.0015248,0.0015248
26,7842.18,0.39233,0.30163,0.94071,0.0149,0.9998,1,0.995,0.94193,0.37641,0.23745,0.84686,0.00246,0.001505,0.001505,0.001505
27,7895.97,0.38314,0.29387,0.92803,0.01432,0.99986,1,0.995,0.98261,0.22991,0.18135,0.80884,0.00245,0.0014852,0.0014852,0.0014852
28,7949.77,0.38494,0.29087,0.93159,0.01384,0.99983,1,0.995,0.97638,0.24286,0.1772,0.81188,0.00392,0.0014654,0.0014654,0.0014654
29,8003.72,0.36561,0.28984,0.92178,0.01122,1,1,0.995,0.98388,0.24616,0.18369,0.82242,0.00366,0.0014456,0.0014456,0.0014456
30,8057.51,0.36757,0.28919,0.90815,0.01068,0.99985,1,0.995,0.98007,0.22591,0.18659,0.81171,0.00426,0.0014258,0.0014258,0.0014258
31,8111.33,0.36606,0.2811,0.91179,0.01262,0.99988,1,0.995,0.98299,0.22551,0.17316,0.80695,0.00373,0.001406,0.001406,0.001406
32,8165.06,0.3735,0.29157,0.91998,0.0116,0.99987,1,0.995,0.98614,0.20845,0.16922,0.81211,0.0014,0.0013862,0.0013862,0.0013862
33,8218.78,0.36093,0.28637,0.92275,0.01191,0.99986,1,0.995,0.97833,0.20496,0.18154,0.80923,0.00209,0.0013664,0.0013664,0.0013664
34,8272.5,0.35988,0.27935,0.92617,0.01129,0.9998,1,0.995,0.98105,0.23994,0.16835,0.80726,0.0057,0.0013466,0.0013466,0.0013466
35,8326.55,0.35445,0.27148,0.90861,0.01108,0.99983,1,0.995,0.98278,0.20304,0.17335,0.80592,0.0018,0.0013268,0.0013268,0.0013268
36,8380.36,0.34311,0.27691,0.89732,0.00981,0.99987,1,0.995,0.98093,0.22519,0.18557,0.80814,0.0017,0.001307,0.001307,0.001307
37,8434.32,0.36253,0.28095,0.91661,0.01068,0.99987,1,0.995,0.97945,0.21442,0.17102,0.80999,0.00172,0.0012872,0.0012872,0.0012872
38,8488.1,0.35587,0.2768,0.91258,0.01277,0.99987,1,0.995,0.98249,0.21636,0.17468,0.80719,0.00347,0.0012674,0.0012674,0.0012674
39,8541.85,0.35442,0.27792,0.91403,0.01159,0.99983,1,0.995,0.98136,0.20511,0.17478,0.8077,0.00309,0.0012476,0.0012476,0.0012476
40,8595.64,0.34436,0.27156,0.90606,0.01043,0.99975,1,0.995,0.9817,0.2293,0.16843,0.81559,0.00183,0.0012278,0.0012278,0.0012278
41,8649.61,0.35561,0.2698,0.91608,0.00962,0.99988,1,0.995,0.97749,0.23889,0.16596,0.82314,0.00199,0.001208,0.001208,0.001208
42,8701.01,0.34415,0.26916,0.90713,0.00986,0.99988,1,0.995,0.98344,0.22446,0.16686,0.81708,0.00193,0.0011882,0.0011882,0.0011882
43,8755.22,0.34294,0.26499,0.89748,0.0093,0.99987,1,0.995,0.98335,0.20178,0.16901,0.80518,0.0026,0.0011684,0.0011684,0.0011684
44,8808.6,0.34334,0.26469,0.90523,0.00937,0.99987,1,0.995,0.98195,0.19856,0.15375,0.80617,0.00142,0.0011486,0.0011486,0.0011486
45,8861.86,0.34363,0.26683,0.91096,0.00988,0.99988,1,0.995,0.98318,0.22614,0.17125,0.81443,0.00166,0.0011288,0.0011288,0.0011288
46,8915.12,0.33112,0.26005,0.89555,0.01003,1,1,0.995,0.98325,0.21731,0.16061,0.80784,0.00211,0.001109,0.001109,0.001109
47,8968.34,0.32949,0.26027,0.8982,0.00961,0.99988,1,0.995,0.98375,0.18936,0.15458,0.80167,0.00177,0.0010892,0.0010892,0.0010892
48,9021.67,0.33197,0.26267,0.89645,0.01118,0.99988,1,0.995,0.98151,0.19476,0.15367,0.80201,0.00173,0.0010694,0.0010694,0.0010694
49,9075.23,0.32931,0.26009,0.9016,0.00959,1,1,0.995,0.97933,0.25891,0.17511,0.81052,0.00242,0.0010496,0.0010496,0.0010496
50,9128.53,0.32069,0.25297,0.89511,0.00861,1,1,0.995,0.9832,0.20254,0.15046,0.79992,0.00155,0.0010298,0.0010298,0.0010298
51,9181.78,0.32829,0.2594,0.89519,0.00933,0.99988,1,0.995,0.98253,0.20355,0.15709,0.79983,0.00188,0.00101,0.00101,0.00101
52,9234.98,0.32134,0.25455,0.89998,0.00809,0.99987,1,0.995,0.98367,0.19237,0.15418,0.80176,0.00128,0.0009902,0.0009902,0.0009902
53,9288.15,0.33038,0.26441,0.90472,0.00919,0.99985,1,0.995,0.98136,0.21522,0.15794,0.81017,0.003,0.0009704,0.0009704,0.0009704
54,9341.34,0.31406,0.24848,0.88353,0.00749,0.99985,1,0.995,0.98283,0.18691,0.15385,0.8005,0.00142,0.0009506,0.0009506,0.0009506
55,9394.63,0.33009,0.25852,0.89448,0.00922,0.99987,1,0.995,0.98296,0.21277,0.15745,0.80173,0.0012,0.0009308,0.0009308,0.0009308
56,9448.06,0.32743,0.2538,0.89686,0.00889,0.99985,1,0.995,0.98366,0.19205,0.14733,0.79934,0.00129,0.000911,0.000911,0.000911
57,9501.32,0.31484,0.24589,0.88188,0.00816,0.99986,1,0.995,0.97958,0.1952,0.1486,0.80055,0.00158,0.0008912,0.0008912,0.0008912
58,9554.87,0.33179,0.25713,0.90181,0.00936,0.99987,1,0.995,0.98129,0.22729,0.15808,0.80654,0.00139,0.0008714,0.0008714,0.0008714
59,9608.32,0.31574,0.24546,0.88778,0.00836,0.99984,1,0.995,0.98132,0.21409,0.15807,0.8027,0.00131,0.0008516,0.0008516,0.0008516
60,9661.55,0.32332,0.25567,0.88505,0.00889,0.99987,1,0.995,0.9828,0.19055,0.14446,0.80258,0.00111,0.0008318,0.0008318,0.0008318
61,9714.81,0.31597,0.24976,0.89572,0.00787,0.99988,1,0.995,0.98375,0.19382,0.14767,0.79846,0.00127,0.000812,0.000812,0.000812
62,9768.33,0.31338,0.2468,0.89178,0.00774,0.99987,1,0.995,0.98467,0.17982,0.14116,0.80157,0.00111,0.0007922,0.0007922,0.0007922
